England and Wales Code,England and Wales,Occupation (current) (105 categories) Code,Occupation (current) (105 categories),Hours worked (5 categories) Code,Hours worked (5 categories),Observation
K04000001,England and Wales,34,249 Media professionals,1,Part-time: 15 hours or less worked,11663
K04000001,England and Wales,34,249 Media professionals,2,Part-time: 16 to 30 hours worked,19513
K04000001,England and Wales,34,249 Media professionals,3,Full-time: 31 to 48 hours worked,98130
K04000001,England and Wales,34,249 Media professionals,4,Full-time: 49 or more hours worked,16447
K04000001,England and Wales,35,"311 Science, engineering and production technicians",-8,Does not apply,0
K04000001,England and Wales,35,"311 Science, engineering and production technicians",1,Part-time: 15 hours or less worked,8586
K04000001,England and Wales,35,"311 Science, engineering and production technicians",2,Part-time: 16 to 30 hours worked,22651
K04000001,England and Wales,35,"311 Science, engineering and production technicians",3,Full-time: 31 to 48 hours worked,197958
K04000001,England and Wales,35,"311 Science, engineering and production technicians",4,Full-time: 49 or more hours worked,17042
K04000001,England and Wales,36,"312 CAD, drawing and architectural technicians",-8,Does not apply,0
K04000001,England and Wales,36,"312 CAD, drawing and architectural technicians",1,Part-time: 15 hours or less worked,3211
K04000001,England and Wales,36,"312 CAD, drawing and architectural technicians",2,Part-time: 16 to 30 hours worked,5101
K04000001,England and Wales,36,"312 CAD, drawing and architectural technicians",3,Full-time: 31 to 48 hours worked,43581
K04000001,England and Wales,36,"312 CAD, drawing and architectural technicians",4,Full-time: 49 or more hours worked,5530
K04000001,England and Wales,37,313 Information technology technicians,-8,Does not apply,0
K04000001,England and Wales,37,313 Information technology technicians,1,Part-time: 15 hours or less worked,8007
K04000001,England and Wales,37,313 Information technology technicians,2,Part-time: 16 to 30 hours worked,19114
K04000001,England and Wales,37,313 Information technology technicians,3,Full-time: 31 to 48 hours worked,175717
K04000001,England and Wales,37,313 Information technology technicians,4,Full-time: 49 or more hours worked,9292
K04000001,England and Wales,38,321 Health associate professionals,-8,Does not apply,0
K04000001,England and Wales,38,321 Health associate professionals,1,Part-time: 15 hours or less worked,18269
K04000001,England and Wales,38,321 Health associate professionals,2,Part-time: 16 to 30 hours worked,29170
K04000001,England and Wales,38,321 Health associate professionals,3,Full-time: 31 to 48 hours worked,56117
K04000001,England and Wales,38,321 Health associate professionals,4,Full-time: 49 or more hours worked,3369
K04000001,England and Wales,39,322 Welfare and housing associate professionals,-8,Does not apply,0
K04000001,England and Wales,39,322 Welfare and housing associate professionals,1,Part-time: 15 hours or less worked,22633
K04000001,England and Wales,39,322 Welfare and housing associate professionals,2,Part-time: 16 to 30 hours worked,65787
K04000001,England and Wales,39,322 Welfare and housing associate professionals,3,Full-time: 31 to 48 hours worked,153608
K04000001,England and Wales,39,322 Welfare and housing associate professionals,4,Full-time: 49 or more hours worked,5152
K04000001,England and Wales,40,323 Teaching and childcare associate professionals,-8,Does not apply,0
K04000001,England and Wales,40,323 Teaching and childcare associate professionals,1,Part-time: 15 hours or less worked,14784
K04000001,England and Wales,40,323 Teaching and childcare associate professionals,2,Part-time: 16 to 30 hours worked,81764
K04000001,England and Wales,40,323 Teaching and childcare associate professionals,3,Full-time: 31 to 48 hours worked,105789
K04000001,England and Wales,40,323 Teaching and childcare associate professionals,4,Full-time: 49 or more hours worked,2417
K04000001,England and Wales,41,324 Veterinary nurses,-8,Does not apply,0
K04000001,England and Wales,41,324 Veterinary nurses,1,Part-time: 15 hours or less worked,815
K04000001,England and Wales,41,324 Veterinary nurses,2,Part-time: 16 to 30 hours worked,4177
K04000001,England and Wales,41,324 Veterinary nurses,3,Full-time: 31 to 48 hours worked,13103
K04000001,England and Wales,41,324 Veterinary nurses,4,Full-time: 49 or more hours worked,591
K04000001,England and Wales,42,331 Protective service occupations,-8,Does not apply,0
K04000001,England and Wales,42,331 Protective service occupations,1,Part-time: 15 hours or less worked,5416
K04000001,England and Wales,42,331 Protective service occupations,2,Part-time: 16 to 30 hours worked,19367
K04000001,England and Wales,42,331 Protective service occupations,3,Full-time: 31 to 48 hours worked,266779
K04000001,England and Wales,42,331 Protective service occupations,4,Full-time: 49 or more hours worked,60959
K04000001,England and Wales,43,"341 Artistic, literary and media occupations",-8,Does not apply,0
K04000001,England and Wales,43,"341 Artistic, literary and media occupations",1,Part-time: 15 hours or less worked,83916
K04000001,England and Wales,43,"341 Artistic, literary and media occupations",2,Part-time: 16 to 30 hours worked,77035
K04000001,England and Wales,43,"341 Artistic, literary and media occupations",3,Full-time: 31 to 48 hours worked,142368
K04000001,England and Wales,43,"341 Artistic, literary and media occupations",4,Full-time: 49 or more hours worked,39583
K04000001,England and Wales,44,342 Design occupations,-8,Does not apply,0
K04000001,England and Wales,44,342 Design occupations,1,Part-time: 15 hours or less worked,8785
K04000001,England and Wales,44,342 Design occupations,2,Part-time: 16 to 30 hours worked,12275
K04000001,England and Wales,44,342 Design occupations,3,Full-time: 31 to 48 hours worked,42108
K04000001,England and Wales,44,342 Design occupations,4,Full-time: 49 or more hours worked,7141
K04000001,England and Wales,45,343 Sports and fitness occupations,-8,Does not apply,0
K04000001,England and Wales,45,343 Sports and fitness occupations,1,Part-time: 15 hours or less worked,47623
K04000001,England and Wales,45,343 Sports and fitness occupations,2,Part-time: 16 to 30 hours worked,38963
K04000001,England and Wales,45,343 Sports and fitness occupations,3,Full-time: 31 to 48 hours worked,45327
K04000001,England and Wales,45,343 Sports and fitness occupations,4,Full-time: 49 or more hours worked,8090
K04000001,England and Wales,46,351 Transport associate professionals,-8,Does not apply,0
K04000001,England and Wales,46,351 Transport associate professionals,1,Part-time: 15 hours or less worked,4865
K04000001,England and Wales,46,351 Transport associate professionals,2,Part-time: 16 to 30 hours worked,3226
K04000001,England and Wales,46,351 Transport associate professionals,3,Full-time: 31 to 48 hours worked,12795
K04000001,England and Wales,46,351 Transport associate professionals,4,Full-time: 49 or more hours worked,6232
K04000001,England and Wales,47,352 Legal associate professionals,-8,Does not apply,0
K04000001,England and Wales,47,352 Legal associate professionals,1,Part-time: 15 hours or less worked,2202
K04000001,England and Wales,47,352 Legal associate professionals,2,Part-time: 16 to 30 hours worked,6427
K04000001,England and Wales,47,352 Legal associate professionals,3,Full-time: 31 to 48 hours worked,31987
K04000001,England and Wales,47,352 Legal associate professionals,4,Full-time: 49 or more hours worked,3351
K04000001,England and Wales,48,353 Finance associate professionals,-8,Does not apply,0
K04000001,England and Wales,48,353 Finance associate professionals,1,Part-time: 15 hours or less worked,6302
K04000001,England and Wales,48,353 Finance associate professionals,2,Part-time: 16 to 30 hours worked,21582
K04000001,England and Wales,48,353 Finance associate professionals,3,Full-time: 31 to 48 hours worked,132324
K04000001,England and Wales,48,353 Finance associate professionals,4,Full-time: 49 or more hours worked,29238
K04000001,England and Wales,49,354 Business associate professionals,-8,Does not apply,0
K04000001,England and Wales,49,354 Business associate professionals,1,Part-time: 15 hours or less worked,8967
K04000001,England and Wales,49,354 Business associate professionals,2,Part-time: 16 to 30 hours worked,32528
K04000001,England and Wales,49,354 Business associate professionals,3,Full-time: 31 to 48 hours worked,206352
K04000001,England and Wales,49,354 Business associate professionals,4,Full-time: 49 or more hours worked,17031
K04000001,England and Wales,50,"355 Sales, marketing and related associate professionals",-8,Does not apply,0
K04000001,England and Wales,50,"355 Sales, marketing and related associate professionals",1,Part-time: 15 hours or less worked,44843
K04000001,England and Wales,50,"355 Sales, marketing and related associate professionals",2,Part-time: 16 to 30 hours worked,79323
K04000001,England and Wales,50,"355 Sales, marketing and related associate professionals",3,Full-time: 31 to 48 hours worked,528346
K04000001,England and Wales,50,"355 Sales, marketing and related associate professionals",4,Full-time: 49 or more hours worked,75276
K04000001,England and Wales,51,356 Public services associate professionals,-8,Does not apply,0
K04000001,England and Wales,51,356 Public services associate professionals,1,Part-time: 15 hours or less worked,1600
K04000001,England and Wales,51,356 Public services associate professionals,2,Part-time: 16 to 30 hours worked,8869
K04000001,England and Wales,51,356 Public services associate professionals,3,Full-time: 31 to 48 hours worked,30841
K04000001,England and Wales,51,356 Public services associate professionals,4,Full-time: 49 or more hours worked,1281
K04000001,England and Wales,52,"357 HR, training and other vocational associate guidance professionals",-8,Does not apply,0
K04000001,England and Wales,52,"357 HR, training and other vocational associate guidance professionals",1,Part-time: 15 hours or less worked,17211
K04000001,England and Wales,52,"357 HR, training and other vocational associate guidance professionals",2,Part-time: 16 to 30 hours worked,44442
K04000001,England and Wales,52,"357 HR, training and other vocational associate guidance professionals",3,Full-time: 31 to 48 hours worked,214957
K04000001,England and Wales,52,"357 HR, training and other vocational associate guidance professionals",4,Full-time: 49 or more hours worked,17884
K04000001,England and Wales,53,358 Regulatory associate professionals,-8,Does not apply,0
K04000001,England and Wales,53,358 Regulatory associate professionals,1,Part-time: 15 hours or less worked,2976
K04000001,England and Wales,53,358 Regulatory associate professionals,2,Part-time: 16 to 30 hours worked,6931
K04000001,England and Wales,53,358 Regulatory associate professionals,3,Full-time: 31 to 48 hours worked,54784
K04000001,England and Wales,53,358 Regulatory associate professionals,4,Full-time: 49 or more hours worked,6984
K04000001,England and Wales,54,411 Administrative occupations: Government and related organisations,-8,Does not apply,0
K04000001,England and Wales,54,411 Administrative occupations: Government and related organisations,1,Part-time: 15 hours or less worked,9723
K04000001,England and Wales,54,411 Administrative occupations: Government and related organisations,2,Part-time: 16 to 30 hours worked,57390
K04000001,England and Wales,54,411 Administrative occupations: Government and related organisations,3,Full-time: 31 to 48 hours worked,199784
K04000001,England and Wales,54,411 Administrative occupations: Government and related organisations,4,Full-time: 49 or more hours worked,8853
K04000001,England and Wales,55,412 Administrative occupations: Finance,-8,Does not apply,0
K04000001,England and Wales,55,412 Administrative occupations: Finance,1,Part-time: 15 hours or less worked,48988
K04000001,England and Wales,55,412 Administrative occupations: Finance,2,Part-time: 16 to 30 hours worked,128606
K04000001,England and Wales,55,412 Administrative occupations: Finance,3,Full-time: 31 to 48 hours worked,308526
K04000001,England and Wales,55,412 Administrative occupations: Finance,4,Full-time: 49 or more hours worked,16101
K04000001,England and Wales,56,413 Administrative occupations: Records,-8,Does not apply,0
K04000001,England and Wales,56,413 Administrative occupations: Records,1,Part-time: 15 hours or less worked,20194
K04000001,England and Wales,56,413 Administrative occupations: Records,2,Part-time: 16 to 30 hours worked,65281
K04000001,England and Wales,56,413 Administrative occupations: Records,3,Full-time: 31 to 48 hours worked,235240
K04000001,England and Wales,56,413 Administrative occupations: Records,4,Full-time: 49 or more hours worked,13666
K04000001,England and Wales,57,414 Administrative occupations: Office managers and supervisors,-8,Does not apply,0
K04000001,England and Wales,57,414 Administrative occupations: Office managers and supervisors,1,Part-time: 15 hours or less worked,12743
K04000001,England and Wales,57,414 Administrative occupations: Office managers and supervisors,2,Part-time: 16 to 30 hours worked,40691
K04000001,England and Wales,57,414 Administrative occupations: Office managers and supervisors,3,Full-time: 31 to 48 hours worked,165187
K04000001,England and Wales,57,414 Administrative occupations: Office managers and supervisors,4,Full-time: 49 or more hours worked,13918
K04000001,England and Wales,58,415 Other administrative occupations,-8,Does not apply,0
K04000001,England and Wales,58,415 Other administrative occupations,1,Part-time: 15 hours or less worked,95073
K04000001,England and Wales,58,415 Other administrative occupations,2,Part-time: 16 to 30 hours worked,192326
K04000001,England and Wales,58,415 Other administrative occupations,3,Full-time: 31 to 48 hours worked,363529
K04000001,England and Wales,58,415 Other administrative occupations,4,Full-time: 49 or more hours worked,14726
K04000001,England and Wales,59,421 Secretarial and related occupations,-8,Does not apply,0
K04000001,England and Wales,59,421 Secretarial and related occupations,1,Part-time: 15 hours or less worked,86052
K04000001,England and Wales,59,421 Secretarial and related occupations,2,Part-time: 16 to 30 hours worked,197686
K04000001,England and Wales,59,421 Secretarial and related occupations,3,Full-time: 31 to 48 hours worked,267005
K04000001,England and Wales,59,421 Secretarial and related occupations,4,Full-time: 49 or more hours worked,13393
K04000001,England and Wales,60,511 Agricultural and related trades,-8,Does not apply,0
K04000001,England and Wales,60,511 Agricultural and related trades,1,Part-time: 15 hours or less worked,31524
K04000001,England and Wales,60,511 Agricultural and related trades,2,Part-time: 16 to 30 hours worked,51976
K04000001,England and Wales,60,511 Agricultural and related trades,3,Full-time: 31 to 48 hours worked,141940
K04000001,England and Wales,60,511 Agricultural and related trades,4,Full-time: 49 or more hours worked,71898
